SampleID	Experiment	Timepoint	Variety	Compartment	Treatment	Sample
E1_NRE_Int3_2	Exp1	day3	NIP	Root	Intact	E1_NRE_Int3
E1_NRE_Int3_3	Exp1	day3	NIP	Root	Intact	E1_NRE_Int3
E1_NRE_Def3_1	Exp1	day3	NIP	Root	Defoliation	E1_NRE_Def3
E1_NRE_Def3_2	Exp1	day3	NIP	Root	Defoliation	E1_NRE_Def3
E1_NRE_Def3_3	Exp1	day3	NIP	Root	Defoliation	E1_NRE_Def3
E1_NRE_Int5_1	Exp1	day5	NIP	Root	Intact	E1_NRE_Int5
E1_NRE_Int5_2	Exp1	day5	NIP	Root	Intact	E1_NRE_Int5
E1_NRE_Int5_3	Exp1	day5	NIP	Root	Intact	E1_NRE_Int5
E1_NRE_Def5_1	Exp1	day5	NIP	Root	Defoliation	E1_NRE_Def5
E1_NRE_Def5_2	Exp1	day5	NIP	Root	Defoliation	E1_NRE_Def5
E1_NRE_Def5_3	Exp1	day5	NIP	Root	Defoliation	E1_NRE_Def5
E1_NRE_Int7_1	Exp1	day7	NIP	Root	Intact	E1_NRE_Int7
E1_NRE_Int7_2	Exp1	day7	NIP	Root	Intact	E1_NRE_Int7
E1_NRE_Int7_3	Exp1	day7	NIP	Root	Intact	E1_NRE_Int7
E1_NRE_Def7_1	Exp1	day7	NIP	Root	Defoliation	E1_NRE_Def7
E1_NRE_Def7_2	Exp1	day7	NIP	Root	Defoliation	E1_NRE_Def7
E1_NRE_Def7_3	Exp1	day7	NIP	Root	Defoliation	E1_NRE_Def7
E1_MRS_Int1_1	Exp1	day1	MH63	Rhizosphere	Intact	E1_MRS_Int1
E1_MRS_Int1_2	Exp1	day1	MH63	Rhizosphere	Intact	E1_MRS_Int1
E1_MRS_Int1_3	Exp1	day1	MH63	Rhizosphere	Intact	E1_MRS_Int1
E1_MRS_Def1_1	Exp1	day1	MH63	Rhizosphere	Defoliation	E1_MRS_Def1
E1_MRS_Def1_2	Exp1	day1	MH63	Rhizosphere	Defoliation	E1_MRS_Def1
E1_MRS_Def1_3	Exp1	day1	MH63	Rhizosphere	Defoliation	E1_MRS_Def1
E1_MRS_Int3_1	Exp1	day3	MH63	Rhizosphere	Intact	E1_MRS_Int3
E1_MRS_Int3_2	Exp1	day3	MH63	Rhizosphere	Intact	E1_MRS_Int3
E1_MRS_Int3_3	Exp1	day3	MH63	Rhizosphere	Intact	E1_MRS_Int3
E1_MRS_Def3_1	Exp1	day3	MH63	Rhizosphere	Defoliation	E1_MRS_Def3
E1_MRS_Def3_2	Exp1	day3	MH63	Rhizosphere	Defoliation	E1_MRS_Def3
E1_MRS_Def3_3	Exp1	day3	MH63	Rhizosphere	Defoliation	E1_MRS_Def3
E1_MRS_Int5_1	Exp1	day5	MH63	Rhizosphere	Intact	E1_MRS_Int5
E1_MRS_Int5_2	Exp1	day5	MH63	Rhizosphere	Intact	E1_MRS_Int5
E1_MRS_Int5_3	Exp1	day5	MH63	Rhizosphere	Intact	E1_MRS_Int5
E1_MRS_Def5_1	Exp1	day5	MH63	Rhizosphere	Defoliation	E1_MRS_Def5
E1_MRS_Def5_2	Exp1	day5	MH63	Rhizosphere	Defoliation	E1_MRS_Def5
