"","sample_id","all_reads","all_reads_nonbacteria","all_reads_bacteria","all_reads_bacteria_per","SampleID","Experiment","Timepoint","Variety","Compartment","Treatment","Sample","MergeExpTime"
"56","E1_NRE_Def5_2",117890,2255,115635,"98.0872%","E1_NRE_Def5_2","Exp1","day5","NIP","Root","Defoliation","E1_NRE_Def5","Exp1_day5"
"57","E1_NRE_Def5_3",62607,2484,60123,"96.0324%","E1_NRE_Def5_3","Exp1","day5","NIP","Root","Defoliation","E1_NRE_Def5","Exp1_day5"
"58","E1_NRE_Def7_1",43820,1483,42337,"96.6157%","E1_NRE_Def7_1","Exp1","day7","NIP","Root","Defoliation","E1_NRE_Def7","Exp1_day7"
"59","E1_NRE_Def7_2",105802,2335,103467,"97.793%","E1_NRE_Def7_2","Exp1","day7","NIP","Root","Defoliation","E1_NRE_Def7","Exp1_day7"
"60","E1_NRE_Def7_3",47339,1318,46021,"97.2158%","E1_NRE_Def7_3","Exp1","day7","NIP","Root","Defoliation","E1_NRE_Def7","Exp1_day7"
"61","E1_NRE_Int1_1",136280,1687,134593,"98.7621%","E1_NRE_Int1_1","Exp1","day1","NIP","Root","Intact","E1_NRE_Int1","Exp1_day1"
"62","E1_NRE_Int1_2",45409,1209,44200,"97.3375%","E1_NRE_Int1_2","Exp1","day1","NIP","Root","Intact","E1_NRE_Int1","Exp1_day1"
"63","E1_NRE_Int1_3",91499,3559,87940,"96.1103%","E1_NRE_Int1_3","Exp1","day1","NIP","Root","Intact","E1_NRE_Int1","Exp1_day1"
"64","E1_NRE_Int3_1",28809,966,27843,"96.6469%","E1_NRE_Int3_1","Exp1","day3","NIP","Root","Intact","E1_NRE_Int3","Exp1_day3"
"65","E1_NRE_Int3_2",52227,1367,50860,"97.3826%","E1_NRE_Int3_2","Exp1","day3","NIP","Root","Intact","E1_NRE_Int3","Exp1_day3"
"66","E1_NRE_Int3_3",36696,1371,35325,"96.2639%","E1_NRE_Int3_3","Exp1","day3","NIP","Root","Intact","E1_NRE_Int3","Exp1_day3"
"67","E1_NRE_Int5_1",127077,3076,124001,"97.5794%","E1_NRE_Int5_1","Exp1","day5","NIP","Root","Intact","E1_NRE_Int5","Exp1_day5"
"68","E1_NRE_Int5_2",94040,2192,91848,"97.6691%","E1_NRE_Int5_2","Exp1","day5","NIP","Root","Intact","E1_NRE_Int5","Exp1_day5"
"69","E1_NRE_Int5_3",107269,3204,104065,"97.0131%","E1_NRE_Int5_3","Exp1","day5","NIP","Root","Intact","E1_NRE_Int5","Exp1_day5"
"70","E1_NRE_Int7_1",99656,5422,94234,"94.5593%","E1_NRE_Int7_1","Exp1","day7","NIP","Root","Intact","E1_NRE_Int7","Exp1_day7"
"71","E1_NRE_Int7_2",69572,1382,68190,"98.0136%","E1_NRE_Int7_2","Exp1","day7","NIP","Root","Intact","E1_NRE_Int7","Exp1_day7"
"72","E1_NRE_Int7_3",104949,2252,102697,"97.8542%","E1_NRE_Int7_3","Exp1","day7","NIP","Root","Intact","E1_NRE_Int7","Exp1_day7"
"73","E1_NRS_Def1_1",60497,728,59769,"98.7966%","E1_NRS_Def1_1","Exp1","day1","NIP","Rhizosphere","Defoliation","E1_NRS_Def1","Exp1_day1"
"74","E1_NRS_Def1_2",57194,918,56276,"98.3949%","E1_NRS_Def1_2","Exp1","day1","NIP","Rhizosphere","Defoliation","E1_NRS_Def1","Exp1_day1"
