"","logFC","logCPM","F","PValue","fdr","Experiment","Compartment","Variety","rel.TP1","rel.TP2","rel.TP3","rel.TP4","rel.Intact","rel.Defoliation","module_name"
"module242",-0.340894327661135,9.65745755337211,1.45431489187946,0.239053387092899,0.484871020632254,"Exp2","Root","NIP",52,123.666666666667,37.8333333333333,55.1666666666667,75.4166666666667,58.9166666666667,"module24"
"module262",-0.701725210614919,8.77222735188269,3.32300674541846,0.0802198097273751,0.300824286477657,"Exp2","Root","NIP",31.1666666666667,27.6666666666667,45.1666666666667,21,37.9166666666667,24.5833333333333,"module26"
"module272",0.0513882987760707,8.59139347264418,0.0179028395700025,0.894623865171816,0.958525569826945,"Exp2","Root","NIP",16.5,70.1666666666667,16.3333333333333,25.3333333333333,32.9166666666667,31.25,"module27"
"module282",1.08029439927572,7.41179241820085,1.35053278101242,0.256088597931475,0.484871020632254,"Exp2","Root","NIP",6.5,6.16666666666667,11.5,19,9,12.5833333333333,"module28"
"module_other3",0.0759286360108335,19.0249723067311,0.398573248059071,0.53389924575927,0.737659855268354,"Exp2","Root","MH63",41061.5,36326,44239.1666666667,41936.8333333333,43381.9166666667,38399.8333333333,"module_other"
"module33",0.52432617974743,13.7379482601618,0.162836144968077,0.690194371527585,0.85494221963378,"Exp2","Root","MH63",283.666666666667,225.166666666667,3210.33333333333,461.666666666667,1657.58333333333,432.833333333333,"module3"
"module03",-0.503144073767985,10.7917606917615,1.97023314536998,0.173455206188197,0.629711807247973,"Exp2","Root","MH63",342.5,119.166666666667,87.6666666666667,45.1666666666667,159.75,137.5,"module0"
"module53",-0.126021504258147,15.4888084187631,0.433688530232125,0.516563322158371,0.737659855268354,"Exp2","Root","MH63",3576.5,3664.66666666667,4642.83333333333,3108.66666666667,4036.33333333333,3460,"module5"
"module114",-0.438210389082003,10.621777726755,0.803077127108934,0.379232136033421,0.711060255062665,"Exp2","Root","MH63",179.666666666667,156,99.5,83,162.166666666667,96.9166666666667,"module1"
"module43",0.236299528458102,11.410099041706,0.440336382687348,0.513395714534218,0.737659855268354,"Exp2","Root","MH63",294.333333333333,200.666666666667,191.666666666667,182.333333333333,203.5,231,"module4"
"module133",0.0149283703264018,17.1647022082647,0.00517864350674324,0.943238380323645,0.943238380323645,"Exp2","Root","MH63",11753.8333333333,9416.33333333333,13541.3333333333,9249,11473.0833333333,10507.1666666667,"module13"
"module213",0.103391062387006,9.89605722787455,0.0983601569712407,0.75656380610912,0.85494221963378,"Exp2","Root","MH63",82.8333333333333,51.6666666666667,94.8333333333333,56.6666666666667,76.5,66.5,"module2"
"module223",1.65732364187275,10.1215881026418,7.28776905598111,0.0126293220329236,0.126293220329236,"Exp2","Root","MH63",84.6666666666667,123.166666666667,78.3333333333333,53.1666666666667,51.5,118.166666666667,"module22"
"module115",-0.0381114841901464,16.9462493627571,0.0516848948259024,0.822116379127016,0.85907802373361,"Exp2","Root","MH63",11390,9017.33333333333,9728.5,8438.16666666667,10475.1666666667,8811.83333333333,"module11"
"module63",1.52629048405245,7.93052053105991,10.9617093716799,0.00298031613632396,0.0447047420448594,"Exp2","Root","MH63",7,8.33333333333333,11.1666666666667,28.1666666666667,9.66666666666667,17.6666666666667,"module6"
"module73",-0.323652914289437,9.60677629618092,1.83036952203306,0.188913542174392,0.629711807247973,"Exp2","Root","MH63",100.166666666667,40,60.5,37.6666666666667,69.75,49.4166666666667,"module7"
"module253",-0.399850004767459,12.9104177171521,0.885592689752204,0.356215338015467,0.711060255062665,"Exp2","Root","MH63",585.666666666667,827.5,573.5,517,802.333333333333,449.5,"module25"
"module93",-0.300362100202793,15.545300624437,1.52825995575636,0.228546003338794,0.632500268579307,"Exp2","Root","MH63",3614.33333333333,3219.83333333333,4640.33333333333,3442,4317,3141.25,"module9"
"module83",0.0698597216101946,13.1214572519262,0.0879090414096842,0.769447997670402,0.85494221963378,"Exp2","Root","MH63",493.333333333333,522.5,877.333333333333,844.833333333333,732.666666666667,636.333333333333,"module8"
"module103",0.0871999463483757,14.9743495956212,0.102053363840304,0.75219213007624,0.85494221963378,"Exp2","Root","MH63",2630,1911.16666666667,2388.5,2251.5,2287,2303.58333333333,"module10"
"module214",0.601723706573758,8.44352212628688,0.819309374459115,0.374537487722027,0.711060255062665,"Exp2","Root","MH63",21.8333333333333,17.8333333333333,40.5,17.3333333333333,16.4166666666667,32.3333333333333,"module21"
"module183",-0.384040613509906,12.4390704300596,2.1655323218141,0.154355904942909,0.629711807247973,"Exp2","Root","MH63",480,525.333333333333,287,455.833333333333,551.083333333333,323,"module18"
"module123",1.65708599427851,12.8088897356039,5.31688300716259,0.0302358337500655,0.226768753125491,"Exp2","Root","MH63",185.666666666667,793.333333333333,464.166666666667,751.333333333333,295,802.25,"module12"
"module143",-0.530346121841943,9.4161403060953,2.2602654052413,0.146006524591753,0.629711807247973,"Exp2","Root","MH63",53.1666666666667,41,52.5,43.1666666666667,55.75,39.1666666666667,"module14"
